,Unnamed: 0,Tipi,Net Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat,Binanın Kat Sayısı,Isıtma Tipi,Eşya Durumu,Tapu Durumu,Site İçerisinde,Banyo Sayısı,Price,Balkon Sayısı,Balkon Tipi,WC Sayısı,İlandan sonra Geçen Gün,İlçe,Mahalle
1134,1134,Daire,40,1,3,3.Kat,4,Kombi Doğalgaz,Boş,Bilinmiyor,Hayır,1,9000,0,Yok,1,24, Pamukkale,İncilipınar Mahallesi
1135,1135,Daire,70,1,0,2.Kat,3,Yerden Isıtma,Eşyalı,Bilinmiyor,Hayır,1,13000,0,Yok,1,95, Pamukkale,Zeytinköy Mahallesi
1136,1136,Daire,40,0,4,Bahçe Katı,3,Yerden Isıtma,Eşyalı,Bilinmiyor,Hayır,1,6700,0,Yok,1,95, Pamukkale,Asmalıevler Mahallesi
1137,1137,Daire,100,6,2,Kot 4 (-4).Kat,5,Kombi Doğalgaz,Boş,Bilinmiyor,Evet,2,17000,1,Açık Balkon,1,95, Merkezefendi,Karahasanlı Mahallesi
1138,1138,Daire,35,1,11,2.Kat,4,Merkezi Doğalgaz,Boş,Bilinmiyor,Hayır,1,10000,1,Kapalı Balkon,1,36, Pamukkale,Kınıklı Mahallesi
1139,1139,Daire,40,1,11,Bodrum Kat,4,Sobalı,Eşyalı,Bilinmiyor,Hayır,1,5000,0,Yok,1,24, Pamukkale,Siteler Mahallesi
1140,1140,Daire,110,3,0,4.Kat,4,Yerden Isıtma,Boş,Bilinmiyor,Hayır,2,23000,0,Yok,1,43, Merkezefendi,Şemikler Mahallesi
1141,1141,Daire,45,1,3,3.Kat,5,Kombi Doğalgaz,Eşyalı,Bilinmiyor,Hayır,1,10000,0,Yok,1,95, Pamukkale,Kuşpınar Mahallesi
1142,1142,Daire,32,1,4,Bahçe Katı,4,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,6500,0,Yok,1,83, Pamukkale,İncilipınar Mahallesi
1144,1144,Daire,140,6,11,3.Kat,3,Kombi Doğalgaz,Boş,Bilinmiyor,Hayır,1,16000,0,Yok,1,37, Merkezefendi,Gültepe Mahallesi
1145,1145,Daire,40,1,5,4.Kat,6,Kombi Doğalgaz,Boş,Bilinmiyor,Hayır,1,8000,0,Yok,1,24, Pamukkale,Yunusemre Mahallesi
1146,1146,Daire,250,8,11,2.Kat,3,Kombi Doğalgaz,Boş,Bilinmiyor,Hayır,2,25000,0,Yok,1,24, Merkezefendi,Karaman Mahallesi
1147,1147,Daire,45,1,5,4.Kat,6,Kombi Doğalgaz,Boş,Bilinmiyor,Hayır,1,13000,0,Yok,1,95, Pamukkale,Asmalıevler Mahallesi
1148,1148,Daire,60,3,5,2.Kat,4,Kombi Doğalgaz,Boş,Bilinmiyor,Hayır,1,15000,0,Yok,1,74, Pamukkale,Yunusemre Mahallesi
1149,1149,Daire,175,6,11,Yüksek Giriş,5,Kombi Doğalgaz,Boş,Bilinmiyor,Hayır,1,24000,0,Yok,1,39, Merkezefendi,Adalet Mahallesi
1150,1150,Daire,45,1,5,Çatı Katı,4,Kombi Doğalgaz,Eşyalı,Bilinmiyor,Hayır,1,12500,0,Yok,1,86, Merkezefendi,Adalet Mahallesi
1151,1151,Daire,145,6,5,Bahçe Katı,4,Kombi Doğalgaz,Boş,Bilinmiyor,Hayır,1,20000,0,Yok,1,24, Pamukkale,Zeytinköy Mahallesi
1152,1152,Daire,60,1,5,3.Kat,4,Yerden Isıtma,Boş,Bilinmiyor,Hayır,1,12000,0,Yok,1,24, Merkezefendi,Sırakapılar Mahallesi
1153,1153,Daire,110,3,1,4.Kat,6,Merkezi Doğalgaz,Boş,Yabancıdan,Evet,2,15000,0,Yok,2,12, Merkezefendi,Kayalar Mahallesi
1154,1154,Daire,130,6,4,1.Kat,4,Yerden Isıtma,Boş,Yabancıdan,Hayır,1,20000,2,Açık Teras,2,25, Merkezefendi,Karahasanlı Mahallesi
1155,1155,Daire,50,1,5,3.Kat,3,Kombi Doğalgaz,Boş,Bilinmiyor,Hayır,1,11000,0,Yok,1,74, Pamukkale,Zeytinköy Mahallesi
1156,1156,Daire,45,1,5,2.Kat,5,Merkezi Doğalgaz,Boş,Bilinmiyor,Hayır,1,15000,0,Yok,1,74, Pamukkale,Yunusemre Mahallesi
1157,1157,Daire,45,1,5,2.Kat,4,Kombi Doğalgaz,Boş,Bilinmiyor,Hayır,1,11500,0,Yok,1,74, Pamukkale,Yunusemre Mahallesi
1158,1158,Daire,60,3,5,2.Kat,4,Kombi Doğalgaz,Boş,Bilinmiyor,Hayır,1,13000,0,Yok,1,74, Pamukkale,Yunusemre Mahallesi
1159,1159,Daire,60,3,5,3.Kat,5,Kombi Doğalgaz,Boş,Bilinmiyor,Hayır,1,16000,0,Yok,1,74, Pamukkale,Asmalıevler Mahallesi
1160,1160,Daire,80,1,5,6.Kat,29,Merkezi (Pay Ölçer),Boş,Bilinmiyor,Hayır,1,20000,0,Yok,1,84, Merkezefendi,Kayalar Mahallesi
1161,1161,Daire,120,6,21,Bahçe Katı,3,Kombi Doğalgaz,Boş,Bilinmiyor,Hayır,1,8000,0,Yok,1,95, Pamukkale,Kervansaray Mahallesi
1162,1162,Daire,50,1,0,1.Kat,4,Yerden Isıtma,Eşyalı,Bilinmiyor,Hayır,1,25000,0,Yok,1,95, Pamukkale,Kınıklı Mahallesi
1163,1163,Daire,42,0,5,2.Kat,3,Kombi Doğalgaz,Eşyalı,Bilinmiyor,Hayır,1,10000,0,Yok,1,39, Çivril,Kızılcasöğüt Mahallesi
1164,1164,Daire,45,1,5,2.Kat,4,Kombi Doğalgaz,Boş,Bilinmiyor,Hayır,1,10000,0,Yok,1,24, Pamukkale,Yunusemre Mahallesi
1165,1165,Daire,45,1,4,2.Kat,4,Kombi Doğalgaz,Boş,Bilinmiyor,Hayır,1,11000,0,Yok,1,24, Pamukkale,Asmalıevler Mahallesi
1166,1166,Daire,160,6,11,2.Kat,5,Kombi Doğalgaz,Boş,Bilinmiyor,Hayır,1,21500,2,Açık Balkon,1,74, Pamukkale,Yunusemre Mahallesi
1167,1167,Daire,50,1,5,1.Kat,4,Kombi Doğalgaz,Boş,Arsa Tapulu,Hayır,1,6000,0,Yok,1,95, Pamukkale,Kınıklı Mahallesi
1168,1168,Daire,55,1,4,3.Kat,3,Kombi Doğalgaz,Eşyalı,Tapu Kaydı Yok,Hayır,1,12500,0,Yok,1,64, Pamukkale,Siteler Mahallesi
1169,1169,Daire,44,1,5,2.Kat,4,Kombi Doğalgaz,Boş,Bilinmiyor,Hayır,1,9000,0,Yok,1,24, Pamukkale,Yunusemre Mahallesi
1170,1170,Daire,45,1,4,3.Kat,3,Merkezi Doğalgaz,Boş,Bilinmiyor,Hayır,1,11000,0,Yok,1,39, Çivril,Aşağı Mahallesi
1171,1171,Daire,25,0,4,Düz Giriş (Zemin),3,Yerden Isıtma,Eşyalı,Bilinmiyor,Hayır,1,7000,0,Yok,1,95, Pamukkale,Siteler Mahallesi
1172,1172,Daire,160,6,5,3.Kat,5,Kombi Doğalgaz,Boş,Bilinmiyor,Evet,1,25000,0,Yok,1,43, Merkezefendi,Mehmet Akif Ersoy Mahallesi
1173,1173,Daire,145,6,0,2.Kat,3,Yerden Isıtma,Boş,Bilinmiyor,Hayır,1,21500,0,Yok,1,43, Merkezefendi,Şemikler Mahallesi
1174,1174,Daire,50,1,5,Bahçe Katı,3,Kombi Doğalgaz,Boş,Bilinmiyor,Hayır,1,10000,0,Yok,1,86, Pamukkale,Zeytinköy Mahallesi
1175,1175,Daire,155,6,11,1.Kat,5,Klimalı,Boş,Bilinmiyor,Hayır,1,25000,0,Yok,1,95, Pamukkale,İncilipınar Mahallesi
1176,1176,Daire,65,3,5,1.Kat,4,Kombi Doğalgaz,Boş,Bilinmiyor,Hayır,1,17000,0,Yok,1,24, Pamukkale,Siteler Mahallesi
1177,1177,Daire,70,3,5,2.Kat,3,Kombi Doğalgaz,Boş,Bilinmiyor,Hayır,1,20000,0,Yok,1,24, Pamukkale,Kınıklı Mahallesi
1178,1178,Daire,50,1,5,3.Kat,5,Kombi Doğalgaz,Eşyalı,Bilinmiyor,Hayır,1,15000,0,Yok,1,95, Pamukkale,Kuşpınar Mahallesi
1179,1179,Daire,50,1,0,Yüksek Giriş,3,Kombi Doğalgaz,Boş,Bilinmiyor,Hayır,1,13500,0,Yok,1,91, Merkezefendi,Bahçelievler Mahallesi
1180,1180,Daire,120,6,0,1.Kat,4,Yerden Isıtma,Boş,Bilinmiyor,Hayır,2,25000,0,Yok,1,24, Merkezefendi,Karahasanlı Mahallesi
